postcode,lat,lng
2759,-33.8225,150.7818
2760,-33.764,150.7801
2761,-33.742,150.8475
2762,-33.7006,150.8801
2763,-33.7256,150.8955
2765,-33.6722,150.7958
2766,-33.8104,150.8508
2767,-33.7797,150.8652
2768,-33.7379,150.9227
2769,-33.7055,150.9055
2770,-33.7564,150.8102
2773,-33.7688,150.6268
2774,-33.7327,150.629
2775,-33.3055,150.9186
2776,-33.6669,150.5531
2777,-33.6925,150.588
2778,-33.7285,150.4845
2779,-33.7237,150.4593
2780,-33.8329,150.4356
2782,-33.7098,150.3765
2783,-33.7256,150.4318
2784,-33.7299,150.407
2785,-33.7077,150.1815
2786,-33.5331,150.3178
2787,-34.1703,150.3859
2790,-33.3107,150.3569
2791,-33.6349,149.1645
2792,-33.6266,149.0863
2793,-33.784,148.9087
2794,-33.8985,148.6648
2795,-33.8208,149.4744
2797,-33.6051,148.9525
2798,-33.4622,149.1588
2799,-33.5713,149.2677
2800,-33.2339,149.1163
2803,-34.1767,148.5237
2804,-33.5396,148.634
2805,-33.6499,148.42
2806,-33.3756,148.3756
2807,-34.0365,148.5622
2808,-33.977,149.0232
2809,-33.9729,148.4323
2810,-33.9029,148.0546
2817,-31.3306,148.7629
2818,-32.5009,148.6686
2820,-32.5533,148.9892
2821,-32.2552,148.1104
2822,-31.8948,148.558
2823,-32.0769,147.8385
2824,-31.3732,147.7858
2825,-31.9272,146.508
2826,-32.0288,147.4794
2827,-31.6331,148.6484
2828,-31.4256,148.4918
2829,-30.6301,148.4544
2830,-32.2422,148.6573
2831,-31.9279,146.6152
2832,-29.9585,147.983
2833,-29.3915,148.3785
2834,-29.1216,147.9287
2835,-31.5518,145.4066
2836,-31.4981,143.2706
2838,-29.3107,147.404
2839,-29.8313,146.9447
2840,-30.2059,145.2514
2842,-31.6909,149.052
2843,-31.8243,149.7278
2844,-31.925,149.3193
2845,-33.405,150.042
2846,-33.0718,150.1186
2847,-33.4045,149.9698
2848,-32.9014,149.9641
2849,-32.7089,150.0591
2850,-32.685,149.6029
2852,-32.2808,149.4591
2864,-33.3403,148.7318
2865,-33.0951,148.5386
2866,-33.0073,148.9045
2867,-32.9659,148.6112
2868,-32.7409,148.5615
2869,-32.584,148.2667
2870,-33.0355,148.1682
2871,-33.4768,147.8117
2873,-32.2694,147.2604
2874,-32.6199,147.5386
2875,-32.9156,147.6036
2876,-33.159,147.7728
2877,-32.2734,146.6854
2878,-32.8232,144.4954
2879,-32.3662,142.6666
2880,-30.1704,142.2034
2890,-32.831,150.139
2891,-33.8688,151.209
2898,-31.5525,159.0812
2899,-36.0842,146.9288
2900,-35.4189,149.0638
2901,-35.4197,149.069
2902,-35.3893,149.0498
2903,-35.4027,149.0818
2904,-35.4102,149.1114
2905,-35.431,149.11
2906,-35.4568,149.0897
2911,-35.2187,149.1325
2912,-35.1725,149.1236
2913,-35.167,149.0947
2914,-35.1703,149.1259
3000,-37.8144,144.9826
3001,-37.8144,144.9826
3002,-37.8144,144.9826
3003,-37.8109,144.9496
3004,-37.8144,144.9826
3005,-37.8246,144.9509
3006,-37.8253,144.9521
3008,-37.8147,144.948
3010,-37.7962,144.9614
3011,-37.8071,144.908
3012,-37.8071,144.8612
3013,-37.8142,144.8887
3015,-37.8382,144.8806
3016,-37.8637,144.8885
3018,-37.8617,144.8127
